,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,Club_Name
685,Kevin Hartman,DAL,GK,30,30,2700,148,98,42,1.4,2/5,9,11,10,6,30.0,66.2,2012,reg,FC Dallas
686,Matt Reis,NE,GK,27,27,2430,133,92,39,1.44,3/3,6,14,7,6,22.2,69.2,2012,reg,New England Revolution
687,Josh Saunders,LA,GK,27,27,2430,118,80,36,1.33,0/1,16,7,4,9,59.3,67.8,2012,reg,LA Galaxy
688,Milos Kocic,TOR,GK,27,27,2430,129,82,47,1.74,0/1,5,16,6,3,18.5,63.6,2012,reg,Toronto FC
689,Joe Cannon,VAN,GK,26,26,2277,109,73,34,1.31,2/2,8,10,7,8,30.8,67.0,2012,reg,Vancouver Whitecaps
690,Bill Hamid,DC,GK,24,24,2087,113,88,24,1.0,1/1,13,6,4,8,54.2,77.9,2012,reg,DC United
691,Michael Gspurning,SEA,GK,21,21,1845,77,59,15,0.71,2/2,12,4,5,8,57.1,76.6,2012,reg,Seattle Sounders FC
692,Ryan Meara,RBNY,GK,18,18,1620,90,59,27,1.5,1/1,9,5,4,3,50.0,65.6,2012,reg,
693,Bill Gaudette,LA,GK,15,15,1350,62,38,20,1.33,1/1,5,5,5,3,33.3,61.3,2012,reg,LA Galaxy
694,Bryan Meredith,VAN,GK,12,10,990,36,20,14,1.4,0/0,3,3,5,3,25.0,55.6,2012,reg,Vancouver Whitecaps
695,Joe Willis,NSH,GK,11,10,972,50,31,19,1.9,2/2,4,4,3,2,36.4,62.0,2012,reg,Nashville SC
696,Brad Knighton,NE,GK,10,8,782,36,27,7,0.88,0/1,3,3,3,3,30.0,75.0,2012,reg,New England Revolution
697,Bobby Shuttleworth,CHI,GK,7,7,630,29,23,5,0.71,0/0,3,3,1,3,42.9,79.3,2012,reg,Chicago Fire FC
698,Freddy Hall,TOR,GK,7,7,630,42,27,15,2.14,1/1,0,5,2,1,0.0,64.3,2012,reg,Toronto FC
699,Joe Bendik,PHI,GK,5,3,326,21,11,8,2.67,2/2,0,2,3,0,0.0,52.4,2012,reg,Philadelphia Union
700,Brian Perk,LA,GK,4,4,360,13,7,7,1.75,2/2,0,3,1,0,0.0,53.8,2012,reg,LA Galaxy
701,Chris Seitz,DC,GK,4,4,360,15,10,5,1.25,0/1,0,2,2,0,0.0,66.7,2012,reg,DC United
702,Luis Robles,MIA,GK,4,4,360,12,9,3,0.75,0/0,2,1,1,2,50.0,75.0,2012,reg,Inter Miami CF
703,Matt Lampson,CLB,GK,3,1,140,10,7,3,3.0,1/1,2,0,0,0,66.7,70.0,2012,reg,Columbus Crew SC
704,Steward Ceus,COL,GK,3,2,201,5,4,1,0.5,0/0,2,0,0,2,66.7,80.0,2012,reg,Colorado Rapids
705,Andrew Weber,SEA,GK,3,3,225,9,5,4,1.33,0/0,0,1,1,0,0.0,55.6,2012,reg,Seattle Sounders FC
706,David Bingham,LA,GK,3,2,225,12,8,3,1.5,0/0,2,1,0,0,66.7,66.7,2012,reg,LA Galaxy
707,Paolo Tornaghi,CHI,GK,3,3,270,17,14,3,1.0,0/0,1,1,1,1,33.3,82.4,2012,reg,Chicago Fire FC
708,Kyle Reynish,RSL,GK,3,3,270,8,6,2,0.67,0/0,1,0,2,2,33.3,75.0,2012,reg,Real Salt Lake
709,Tim Melia,SKC,GK,2,2,180,13,9,4,2.0,0/0,0,1,1,0,0.0,69.2,2012,reg,Sporting Kansas City
710,Greg Sutton,MTL,GK,1,0,24,1,0,1,1.0,0/0,0,1,0,0,0.0,0.0,2012,reg,CF Montreal
711,Chris Konopka,PHI,GK,1,1,90,7,6,1,1.0,0/0,0,1,0,0,0.0,85.7,2012,reg,Philadelphia Union
712,Tyler Deric,HOU,GK,1,1,90,9,7,2,2.0,0/0,0,1,0,0,0.0,77.8,2012,reg,Houston Dynamo FC
713,Chase Harrison,PHI,GK,1,1,90,3,2,1,1.0,0/0,0,0,1,0,0.0,66.7,2012,reg,Philadelphia Union
714,Evan Bush,MTL,GK,1,1,90,7,4,3,3.0,0/0,0,1,0,0,0.0,57.1,2012,reg,CF Montreal
715,Brian Rowe ,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Orlando City SC
716,Jeremy Vuolo,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,
717,Erich Marscheider,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Houston Dynamo FC
718,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Toronto FC
719,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Real Salt Lake
720,Patrick McLain,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Chivas USA
721,Scott Angevine,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,
722,Tim Murray,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,New England Revolution
723,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Columbus Crew SC
724,Evan Newton,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,San Jose Earthquakes
725,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Seattle Sounders FC
726,Brian Sylvestre,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Vancouver Whitecaps
727,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Portland Timbers
728,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Sporting Kansas City
729,Ian Joyce,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Colorado Rapids
730,Stefan Frei,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Seattle Sounders FC
731,Andrew Dykstra,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,DC United
732,Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Seattle Sounders FC
733,William Hesmer,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Columbus Crew SC
734,Jay Nolly,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,Chicago Fire FC
735,Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2012,reg,
736,Jimmy Nielsen,KC,GK,34,34,3060,100,68,30,0.88,1/1,17,10,7,13,50.0,68.0,2013,reg,
737,Luis Robles,MIA,GK,34,34,3060,147,103,41,1.21,7/10,17,9,8,11,50.0,70.1,2013,reg,Inter Miami CF
738,Tally Hall,HOU,GK,34,34,3060,141,95,41,1.21,2/4,14,11,9,9,41.2,67.4,2013,reg,Houston Dynamo FC
739,Zac MacMath,RSL,GK,34,34,3060,147,101,44,1.29,1/1,12,12,10,12,35.3,68.7,2013,reg,Real Salt Lake
740,Joe Bendik,PHI,GK,33,33,2970,139,90,46,1.39,2/2,6,16,11,4,18.2,64.7,2013,reg,Philadelphia Union
741,Troy Perkins,MTL,GK,33,33,2970,158,109,48,1.45,4/6,14,12,7,8,42.4,69.0,2013,reg,CF Montreal
742,Jon Busch,SJ,GK,33,33,2970,142,101,41,1.24,3/3,13,11,9,9,39.4,71.1,2013,reg,San Jose Earthquakes
743,Clint Irwin,COL,GK,32,31,2873,132,91,35,1.13,6/8,14,9,9,10,43.8,68.9,2013,reg,Colorado Rapids
744,Donovan Ricketts,POR,GK,32,32,2880,126,92,31,0.97,4/5,13,5,14,14,40.6,73.0,2013,reg,Portland Timbers
745,Dan Kennedy,CHV,GK,31,31,2754,166,104,54,1.74,3/4,6,17,8,3,19.4,62.7,2013,reg,Chivas USA
746,Michael Gspurning,SEA,GK,28,28,2475,114,76,35,1.25,2/2,12,9,6,10,42.9,66.7,2013,reg,Seattle Sounders FC
747,Sean Johnson,NYC,GK,28,28,2520,132,93,39,1.39,3/4,12,10,6,6,42.9,70.5,2013,reg,New York City FC
748,Nick Rimando,RSL,GK,27,27,2430,112,82,28,1.04,1/3,14,7,6,9,51.9,73.2,2013,reg,Real Salt Lake
749,Raul Fernandez,DAL,GK,26,26,2340,129,88,41,1.58,2/3,7,10,9,7,26.9,68.2,2013,reg,FC Dallas
750,Bill Hamid,DC,GK,25,25,2250,119,80,39,1.56,4/6,2,17,6,4,8.0,67.2,2013,reg,DC United
751,Bobby Shuttleworth,CHI,GK,23,22,2063,96,64,30,1.36,3/3,7,11,5,9,30.4,66.7,2013,reg,Chicago Fire FC
752,Carlo Cudicini,LA,GK,21,21,1890,68,39,27,1.29,0/1,9,8,4,7,42.9,57.4,2013,reg,LA Galaxy
753,Andy Gruenebaum,CLB,GK,21,21,1890,100,71,28,1.33,2/2,5,11,5,4,23.8,71.0,2013,reg,Columbus Crew SC
754,David Ousted,VAN,GK,13,13,1170,54,37,16,1.23,1/1,4,5,4,4,30.8,68.5,2013,reg,Vancouver Whitecaps
755,Matt Lampson,CLB,GK,13,13,1170,63,43,18,1.38,3/3,7,6,0,5,53.8,68.3,2013,reg,Columbus Crew SC
756,Matt Reis,NE,GK,12,12,995,37,29,8,0.67,0/0,7,0,4,5,58.3,78.4,2013,reg,New England Revolution
757,Brad Knighton,NE,GK,11,11,990,50,35,15,1.36,2/2,6,3,2,2,54.5,70.0,2013,reg,New England Revolution
758,Joe Cannon,VAN,GK,10,10,900,42,31,14,1.4,0/0,3,4,3,1,30.0,73.8,2013,reg,Vancouver Whitecaps
759,Jaime Penedo,LA,GK,9,9,810,31,24,7,0.78,0/0,4,1,4,4,44.4,77.4,2013,reg,LA Galaxy
760,Joe Willis,NSH,GK,9,9,810,47,28,20,2.22,1/1,1,7,1,1,11.1,59.6,2013,reg,Nashville SC
761,Chris Seitz,DC,GK,8,8,720,36,24,11,1.38,0/0,4,2,2,2,50.0,66.7,2013,reg,DC United
762,Paolo Tornaghi,CHI,GK,6,6,540,24,12,13,2.17,0/0,2,3,1,0,33.3,50.0,2013,reg,Chicago Fire FC
763,Jeff Attinella,POR,GK,5,4,399,24,14,9,2.25,3/3,1,2,1,1,20.0,58.3,2013,reg,Portland Timbers
764,Brian Rowe ,ORL,GK,4,4,360,19,14,4,1.0,0/0,2,2,0,2,50.0,73.7,2013,reg,Orlando City SC
765,Marcus Hahnemann,SEA,GK,4,4,360,10,6,4,1.0,0/0,2,2,0,1,50.0,60.0,2013,reg,Seattle Sounders FC
766,Andrew Weber,SEA,GK,3,2,225,8,5,3,1.5,0/0,1,1,1,0,33.3,62.5,2013,reg,Seattle Sounders FC
767,Josh Saunders,RSL,GK,3,3,231,18,13,4,1.33,0/0,1,1,1,0,33.3,72.2,2013,reg,Real Salt Lake
768,Matt Pickens,COL,GK,2,2,97,4,2,2,1.0,0/0,0,1,0,0,0.0,50.0,2013,reg,Colorado Rapids
769,Patrick McLain,CHV,GK,2,1,124,10,4,6,6.0,1/1,0,1,0,0,0.0,40.0,2013,reg,Chivas USA
770,Tim Melia,SKC,GK,2,2,180,15,8,7,3.5,1/1,0,2,0,0,0.0,53.3,2013,reg,Sporting Kansas City
771,Milos Kocic,POR,GK,2,2,180,10,7,2,1.0,0/0,1,0,1,1,50.0,70.0,2013,reg,Portland Timbers
772,Stefan Frei,SEA,GK,1,1,90,3,2,1,1.0,1/1,0,1,0,0,0.0,66.7,2013,reg,Seattle Sounders FC
773,Steward Ceus,COL,GK,1,1,90,6,5,1,1.0,0/0,0,1,0,0,0.0,83.3,2013,reg,Colorado Rapids
774,David Bingham,LA,GK,1,1,90,8,7,1,1.0,0/0,1,0,0,0,100.0,87.5,2013,reg,LA Galaxy
775,Evan Bush,MTL,GK,1,1,90,7,6,1,1.0,0/0,0,1,0,0,0.0,85.7,2013,reg,CF Montreal
776,Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,
777,Santiago Castaño,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,
778,Luis Soffner,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,New England Revolution
779,Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,FC Dallas
780,Daniel Withrow,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Columbus Crew SC
781,Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Vancouver Whitecaps
782,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Atlanta United FC
783,Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,FC Dallas
784,Evan Newton,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,San Jose Earthquakes
785,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Portland Timbers
786,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Sporting Kansas City
787,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Columbus Crew SC
788,Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Houston Dynamo FC
789,Erich Marscheider,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Houston Dynamo FC
790,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Toronto FC
791,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Real Salt Lake
792,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Seattle Sounders FC
793,Simon Thomas,CAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Canada
794,Andrew Dykstra,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,DC United
795,Brian Perk,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,LA Galaxy
796,Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,
797,Chris Konopka,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Philadelphia Union
798,Kevin Hartman,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,
799,Oka Nikolov,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2013,reg,Philadelphia Union
800,Jon Busch,SJ,GK,34,34,3060,191,137,50,1.47,8/10,6,16,12,6,17.6,71.7,2014,reg,San Jose Earthquakes
801,Luis Robles,MIA,GK,34,34,3060,171,111,50,1.47,8/10,13,10,11,6,38.2,64.9,2014,reg,Inter Miami CF
802,David Ousted,VAN,GK,34,34,3060,140,96,40,1.18,5/5,12,8,14,13,35.3,68.6,2014,reg,Vancouver Whitecaps
803,Stefan Frei,SEA,GK,34,34,3060,149,99,50,1.47,6/7,20,10,4,9,58.8,66.4,2014,reg,Seattle Sounders FC
804,Steve Clark,POR,GK,34,34,3060,153,111,42,1.24,2/4,14,10,10,8,41.2,72.5,2014,reg,Portland Timbers
805,Dan Kennedy,CHV,GK,33,33,2957,155,93,57,1.73,3/4,9,18,6,6,27.3,60.0,2014,reg,Chivas USA
806,Sean Johnson,NYC,GK,33,33,2970,149,96,49,1.48,6/8,6,9,18,6,18.2,64.4,2014,reg,New York City FC
807,Donovan Ricketts,POR,GK,32,32,2861,151,105,44,1.38,7/7,12,7,12,7,37.5,69.5,2014,reg,Portland Timbers
808,Bobby Shuttleworth,CHI,GK,32,32,2880,141,94,40,1.25,2/4,16,12,4,8,50.0,66.7,2014,reg,Chicago Fire FC
809,Bill Hamid,DC,GK,30,30,2700,146,110,34,1.13,5/5,14,9,7,10,46.7,75.3,2014,reg,DC United
810,Zac MacMath,RSL,GK,29,29,2610,125,77,45,1.55,4/7,9,10,10,5,31.0,61.6,2014,reg,Real Salt Lake
811,Jaime Penedo,LA,GK,29,29,2610,115,81,33,1.14,3/3,15,7,7,8,51.7,70.4,2014,reg,LA Galaxy
812,Joe Bendik,PHI,GK,27,27,2430,125,82,45,1.67,4/5,8,11,8,4,29.6,65.6,2014,reg,Philadelphia Union
813,Clint Irwin,COL,GK,26,25,2336,125,73,49,1.96,6/7,7,15,4,7,26.9,58.4,2014,reg,Colorado Rapids
814,Tally Hall,HOU,GK,24,24,2150,115,67,44,1.83,7/8,8,12,4,7,33.3,58.3,2014,reg,Houston Dynamo FC
815,Nick Rimando,RSL,GK,24,24,2160,97,71,25,1.04,1/5,13,4,7,7,54.2,73.2,2014,reg,Real Salt Lake
816,Raul Fernandez,DAL,GK,21,20,1818,95,66,25,1.25,3/4,9,8,3,4,42.9,69.5,2014,reg,FC Dallas
817,Troy Perkins,MTL,GK,21,21,1890,102,66,35,1.67,4/5,4,12,5,5,19.0,64.7,2014,reg,CF Montreal
818,Eric Kronberg,KC,GK,20,20,1800,73,45,22,1.1,5/5,7,8,5,7,35.0,61.6,2014,reg,
819,Chris Seitz,DC,GK,14,14,1242,67,44,20,1.43,0/1,7,4,3,2,50.0,65.7,2014,reg,DC United
820,Evan Bush,MTL,GK,13,13,1170,79,52,23,1.77,2/2,2,6,5,3,15.4,65.8,2014,reg,CF Montreal
821,Tyler Deric,HOU,GK,11,10,910,53,36,14,1.4,2/3,3,5,2,3,27.3,67.9,2014,reg,Houston Dynamo FC
822,Andy Gruenebaum,KC,GK,11,11,945,45,34,12,1.09,1/1,6,3,2,3,54.5,75.6,2014,reg,
823,Jeff Attinella,POR,GK,10,10,900,60,45,14,1.4,3/5,2,4,4,3,20.0,75.0,2014,reg,Portland Timbers
824,Júlio César,BRA,GK,7,7,630,27,18,9,1.29,2/2,3,4,0,2,42.9,66.7,2014,reg,
825,John Berner,COL,GK,5,5,450,12,6,6,1.2,0/0,1,1,3,2,20.0,50.0,2014,reg,Colorado Rapids
826,Joe Nasco,COL,GK,4,4,271,19,13,7,1.75,0/0,0,2,1,0,0.0,68.4,2014,reg,Colorado Rapids
827,Jon Kempin,CLB,GK,4,3,315,13,5,7,2.33,0/1,1,2,0,0,25.0,38.5,2014,reg,Columbus Crew SC
828,Rais MBolhi,ALG,GK,4,4,360,13,7,4,1.0,0/0,1,1,2,1,25.0,53.8,2014,reg,
829,Andrew Dykstra,DC,GK,4,4,360,9,6,3,0.75,0/1,3,0,1,2,75.0,66.7,2014,reg,DC United
830,Andrew Weber,POR,GK,3,2,198,16,8,8,4.0,2/3,0,2,1,0,0.0,50.0,2014,reg,Portland Timbers
831,Brian Rowe ,ORL,GK,3,3,270,13,10,3,1.0,0/0,1,0,2,1,33.3,76.9,2014,reg,Orlando City SC
832,Tim Melia,SKC,GK,2,1,79,4,1,3,3.0,0/0,0,1,0,0,0.0,25.0,2014,reg,Sporting Kansas City
833,Brian Perk,LA,GK,2,2,180,3,2,1,0.5,0/0,1,0,1,1,50.0,66.7,2014,reg,LA Galaxy
834,Brad Knighton,NE,GK,2,2,180,12,6,6,3.0,1/1,1,1,0,0,50.0,50.0,2014,reg,New England Revolution
835,Trevor Spangenberg,CHV,GK,1,0,22,2,1,1,1.0,1/1,0,0,0,0,0.0,50.0,2014,reg,Chivas USA
836,Andre Blake,PHI,GK,1,1,90,8,7,2,2.0,0/0,0,1,0,0,0.0,87.5,2014,reg,Philadelphia Union
837,Kyle Reynish,CHI,GK,1,1,90,4,2,2,2.0,0/0,0,1,0,0,0.0,50.0,2014,reg,Chicago Fire FC
838,Chris Konopka,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Toronto FC
839,Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Seattle Sounders FC
840,Matt Pickens,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Colorado Rapids
841,Paolo Tornaghi,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Vancouver Whitecaps
842,David Bingham,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,LA Galaxy
843,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Portland Timbers
844,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Sporting Kansas City
845,Joe Willis,NSH,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Nashville SC
846,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Seattle Sounders FC
847,Marco Carducci,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Vancouver Whitecaps
848,Billy Knutsen,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,San Jose Earthquakes
849,Larry Jackson,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,New England Revolution
850,Matt Lampson,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Columbus Crew SC
851,Ryan Meara,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,
852,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Vancouver Whitecaps
853,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Toronto FC
854,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Real Salt Lake
855,Brian Holt,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Philadelphia Union
856,Michael Lisch,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Houston Dynamo FC
857,Santiago Castaño,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,
858,Brad Stuver,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,New York City FC
859,Luis Soffner,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,New England Revolution
860,Maxime Crepeau,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Vancouver Whitecaps
861,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,Atlanta United FC
862,Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2014,reg,FC Dallas
863,Luis Robles,MIA,GK,34,34,3060,131,86,43,1.26,2/3,18,10,6,9,52.9,65.6,2015,reg,Inter Miami CF
864,David Ousted,VAN,GK,34,34,3060,137,99,36,1.06,2/6,16,13,5,13,47.1,72.3,2015,reg,Vancouver Whitecaps
865,David Bingham,LA,GK,34,34,3060,147,105,39,1.15,4/6,13,13,8,12,38.2,71.4,2015,reg,LA Galaxy
866,Steve Clark,POR,GK,34,34,3060,168,114,53,1.56,4/4,15,11,8,6,44.1,67.9,2015,reg,Portland Timbers
867,Adam Kwarasey,POR,GK,33,33,2970,120,80,36,1.09,4/4,15,10,8,13,45.5,66.7,2015,reg,Portland Timbers
868,Josh Saunders,NYC,GK,33,33,2970,188,123,57,1.73,6/7,10,16,7,4,30.3,65.4,2015,reg,New York City FC
869,Stefan Frei,SEA,GK,31,31,2744,144,111,33,1.06,2/3,14,10,6,10,45.2,77.1,2015,reg,Seattle Sounders FC
870,Bobby Shuttleworth,CHI,GK,31,31,2790,125,78,41,1.32,5/6,13,11,7,8,41.9,62.4,2015,reg,Chicago Fire FC
871,Tyler Deric,HOU,GK,31,31,2790,139,89,44,1.42,5/5,10,13,8,7,32.3,64.0,2015,reg,Houston Dynamo FC
872,Evan Bush,MTL,GK,31,31,2790,142,99,39,1.26,6/7,15,12,4,9,48.4,69.7,2015,reg,CF Montreal
873,Clint Irwin,COL,GK,31,31,2790,125,88,38,1.23,3/3,8,13,10,8,25.8,70.4,2015,reg,Colorado Rapids
874,Bill Hamid,DC,GK,25,25,2250,133,101,29,1.16,0/1,11,9,5,8,44.0,75.9,2015,reg,DC United
875,Nick Rimando,RSL,GK,24,24,2160,93,66,24,1.0,5/8,8,9,7,8,33.3,71.0,2015,reg,Real Salt Lake
876,Tally Hall,ORL,GK,23,23,2064,114,73,41,1.78,4/5,10,8,5,5,43.5,64.0,2015,reg,Orlando City SC
877,Tim Melia,SKC,GK,23,23,2070,113,82,28,1.22,2/2,11,8,4,8,47.8,72.6,2015,reg,Sporting Kansas City
878,Sean Johnson,NYC,GK,21,21,1890,90,59,32,1.52,3/3,5,11,5,4,23.8,65.6,2015,reg,New York City FC
879,Donovan Ricketts,LA,GK,21,21,1890,92,58,32,1.52,4/4,7,9,5,3,33.3,63.0,2015,reg,LA Galaxy
880,Chris Konopka,TOR,GK,21,21,1890,92,62,31,1.48,4/6,11,7,3,4,52.4,67.4,2015,reg,Toronto FC
881,Dan Kennedy,DAL,GK,16,16,1440,48,30,19,1.19,3/4,7,5,4,5,43.8,62.5,2015,reg,FC Dallas
882,Jaime Penedo,LA,GK,16,16,1440,69,50,19,1.19,1/1,6,4,6,5,37.5,72.5,2015,reg,LA Galaxy
883,Joe Bendik,PHI,GK,13,13,1170,72,45,27,2.08,2/2,4,8,1,1,30.8,62.5,2015,reg,Philadelphia Union
884,Jon Busch,CHI,GK,12,12,1080,57,35,24,2.0,0/0,3,8,1,1,25.0,61.4,2015,reg,Chicago Fire FC
885,Brian Sylvestre,PHI,GK,12,12,1080,50,30,19,1.58,1/2,5,6,1,5,41.7,60.0,2015,reg,Philadelphia Union
886,John McCarthy,MIA,GK,11,11,990,41,22,18,1.64,2/2,3,5,3,2,27.3,53.7,2015,reg,Inter Miami CF
887,Jesse Gonzalez,DAL,GK,11,11,990,47,37,10,0.91,2/4,7,3,1,5,63.6,78.7,2015,reg,FC Dallas
888,Jeff Attinella,POR,GK,10,10,900,64,40,24,2.4,2/2,3,6,1,1,30.0,62.5,2015,reg,Portland Timbers
889,Andrew Dykstra,DC,GK,9,9,778,57,40,16,1.78,0/1,3,4,1,0,33.3,70.2,2015,reg,DC United
890,Luis Marin,KC,GK,8,8,720,30,19,12,1.5,0/0,2,2,4,3,25.0,63.3,2015,reg,
